k,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
3,10,106,TorusMDS_random_1x_scale2,6.0052,0.9876846058293732,1.0124689542571996,10000.0,max_iters,0.0018,0.3124454708959053,0.3534715609498599,0.2564154268436749,0.503419954877935,0.7801762804893632,5.014647,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,11,468,TorusMDS_random_1x_scale2,6.2035,0.9977970851897572,1.002207778357885,10000.0,max_iters,0.0428,0.3397607558017383,0.3691120009210257,0.270229722584265,0.2609363868517143,0.9467672118831904,4.544983,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,12,412,TorusMDS_random_1x_scale2,5.8697,0.9979846043872324,1.0020194656349484,10000.0,max_iters,0.0305,0.3499665053889737,0.3745293822322108,0.2806124619174467,0.2595342442971425,0.8923691880325485,4.667085,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,13,993,TorusMDS_random_1x_scale2,6.9036,0.9988976256942048,1.0011035908760209,10000.0,max_iters,0.3792,0.3398354120078387,0.3726585611881117,0.2660965108516742,0.2150193992436494,0.9955555555555554,4.513794,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,14,484,TorusMDS_random_1x_scale2,6.3944,1.0033726579545006,0.9966386786327464,10000.0,max_iters,0.0432,0.3556295558680593,0.381081959730676,0.2814930538283616,0.2005642806365457,0.9066439401543512,4.579319,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,15,488,TorusMDS_random_1x_scale2,5.9989,0.9970121031023744,1.002996851179969,10000.0,max_iters,0.0448,0.3491002809560407,0.3773719008781332,0.2769828475288964,0.2465471836203817,0.92391838070777,4.577586,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,16,136,TorusMDS_random_1x_scale2,5.9392,0.9780172579322324,1.0224768447483683,10000.0,max_iters,0.0025,0.3219044401645921,0.3656610622273759,0.263933908733108,0.4387070138544418,0.5767350089754253,5.609211,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
5,17,335,TorusMDS_random_1x_scale2,5.7805,1.0010155793167257,0.9989854510382156,10000.0,max_iters,0.0209,0.3388110469145418,0.3675694652611344,0.2716018140473569,0.3019553703730279,0.912699487050408,4.56423,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,18,306,TorusMDS_random_1x_scale2,6.144,0.9945499106496836,1.005479955597961,10000.0,max_iters,0.015,0.35230843154101,0.3815121716237744,0.2857043978995167,0.259341628014277,0.8268596174026562,4.74241,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,19,859,TorusMDS_random_1x_scale2,6.3684,1.022493486477205,0.9780013400821732,10000.0,max_iters,0.1885,0.3401883828509828,0.3755569181917993,0.2669447320126097,0.2242506709941187,0.9967676767676766,4.494287,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,20,372,TorusMDS_random_1x_scale2,5.8198,0.9855118331274232,1.0147011597279356,10000.0,max_iters,0.0266,0.3382117165753859,0.365276371454927,0.2681765265282563,0.2939013543499529,0.962245762644326,4.464768,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,21,392,TorusMDS_random_1x_scale2,5.7983,1.0022568964224867,0.9977481856891756,10000.0,max_iters,0.0274,0.3448750421122607,0.3706053212462749,0.2758677713566614,0.2744625288669298,0.9083900508989609,4.611293,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,22,246,TorusMDS_random_1x_scale2,5.6398,1.012278127292981,0.9878707966102014,10000.0,max_iters,0.01,0.334599405735857,0.365342650392197,0.2705179206919519,0.3381251146540607,0.8789690981060688,4.631347,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,23,168,TorusMDS_random_1x_scale2,5.6377,1.0085548436042109,0.9915177209663296,10000.0,max_iters,0.0038,0.3437327840255624,0.3808898226124889,0.2818844423037572,0.3489461403993711,0.6260244851702393,5.315923,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
5,24,121,TorusMDS_random_1x_scale2,5.9391,0.9978711907984976,1.0021333506980985,10000.0,max_iters,0.0023,0.3160195519815842,0.3587529149076346,0.2631582200414458,0.4602386457535613,0.6803974362869725,5.234202,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,25,612,TorusMDS_random_1x_scale2,6.4733,0.9862029904371042,1.0139900301425575,10000.0,max_iters,0.0873,0.3437320228669498,0.3770571648392805,0.2713388662446391,0.2506183266130282,0.9985858585858586,4.416294,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,26,752,TorusMDS_random_1x_scale2,6.188,0.9835550281903912,1.016719930596934,10000.0,max_iters,0.2558,0.3482847988282564,0.3821874667633844,0.2728235818758069,0.2705874454599,0.9987878787878788,4.354287,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,27,216,TorusMDS_random_1x_scale2,5.6947,1.0034875737815585,0.9965245471167964,10000.0,max_iters,0.0067,0.3302982680700623,0.3678779811885093,0.2729803455748686,0.3874831469266611,0.6991981194999651,5.154125,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,28,282,TorusMDS_random_1x_scale2,5.7947,1.0041710951358256,0.9958462306313832,10000.0,max_iters,0.0124,0.354752285785025,0.3849016448543291,0.2911602597117205,0.2692996687401238,0.7388253869123971,4.932152,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,29,170,TorusMDS_random_1x_scale2,5.6173,1.003248053890689,0.9967624618078323,10000.0,max_iters,0.004,0.3401567590359867,0.3797580069073847,0.2815144378547535,0.3533595759121179,0.6074279080997134,5.349326,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,30,253,TorusMDS_random_1x_scale2,5.7809,1.0037265083653697,0.9962873269418394,10000.0,max_iters,0.0095,0.3565774258049059,0.3874147242967236,0.2912269564016434,0.2684926972528086,0.7121865660305527,4.994597,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,31,123,TorusMDS_random_1x_scale2,5.9665,0.9879080053461672,1.0122400006765768,10000.0,max_iters,0.0021,0.3300643867639499,0.3711488784084149,0.2726908242426251,0.4065876062826095,0.6074685912844974,5.408107,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,32,198,TorusMDS_random_1x_scale2,5.6855,0.9956268598358364,1.004392348519891,10000.0,max_iters,0.0056,0.3494310656694298,0.3885887653750887,0.2875658073231865,0.320813981299166,0.6194834849309675,5.292191,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,33,158,TorusMDS_random_1x_scale2,5.6271,1.0121981883379785,0.987948814294948,10000.0,max_iters,0.0033,0.3277421158569187,0.3688915716669676,0.2688407828397419,0.4135698937750614,0.5856737835246182,5.524638,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,34,231,TorusMDS_random_1x_scale2,6.0915,1.006538062142678,0.9935044064515952,10000.0,max_iters,0.0082,0.3441172562557658,0.3739545286994564,0.2817925239086036,0.3167931544332175,0.760846125500783,4.928056,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,35,425,TorusMDS_random_1x_scale2,5.9497,0.9991446915175032,1.0008560406613358,10000.0,max_iters,0.0321,0.3537502229527272,0.3799549815853277,0.2832311332525007,0.2271533414906145,0.902099682279364,4.596306,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
5,36,275,TorusMDS_random_1x_scale2,5.7799,1.009068730744729,0.9910127720060892,10000.0,max_iters,0.0125,0.3384121585460667,0.3686866398877305,0.2738518279958835,0.334657186232719,0.85238393863467,4.707568,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,37,316,TorusMDS_random_1x_scale2,5.8819,0.997283564618646,1.0027238345017675,10000.0,max_iters,0.0198,0.3392663180158782,0.3674891915999816,0.2672792399092787,0.3064397738419242,0.9699848009338062,4.463656,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
5,38,417,TorusMDS_random_1x_scale2,5.9221,1.0021893657205765,0.9978154171302724,10000.0,max_iters,0.033,0.3382766605762422,0.3676455026440541,0.2686881730033291,0.2951012510148624,0.9321301871710976,4.567108,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,39,889,TorusMDS_random_1x_scale2,6.3787,1.1232099532644055,0.890305500849313,10000.0,max_iters,0.3994,0.3393222398917093,0.3819160668824731,0.2581453722726792,0.2681658219691995,1.0,4.425156,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
5,40,572,TorusMDS_random_1x_scale2,6.2758,1.007446800722884,0.99260824420948,10000.0,max_iters,0.0683,0.3404285125475271,0.371186310729883,0.2685696649143839,0.2601659590400194,0.982205730777159,4.490117,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,41,338,TorusMDS_random_1x_scale2,5.9129,0.988710182343756,1.0114187330704751,10000.0,max_iters,0.0212,0.3410773156915321,0.3669669776449171,0.2717448171102929,0.3060891308785212,0.9352015167985338,4.517602,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
4,42,259,TorusMDS_random_1x_scale2,5.7021,0.9857765604595248,1.014428664781647,10000.0,max_iters,0.0111,0.3359298263385666,0.3629211196100573,0.2687009200625795,0.3517136468977577,0.8882199174762151,4.630591,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
8,43,514,TorusMDS_random_1x_scale2,6.1215,1.004429670951792,0.9955898644973378,10000.0,max_iters,0.0494,0.3566684926987502,0.3829213443503302,0.2842080788660759,0.191882595837233,0.9246705430063302,4.564353,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,44,130,TorusMDS_random_1x_scale2,6.0598,0.991086498989247,1.0089936660622896,10000.0,max_iters,0.0028,0.3280339087024223,0.3660888881429961,0.2703605419788379,0.4293483432681029,0.7923363644271094,4.893541,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,45,846,TorusMDS_random_1x_scale2,6.2456,0.9970120367022862,1.0029969179786402,10000.0,max_iters,0.172,0.3426692064404295,0.3714603065695207,0.2674728196846678,0.2160469013696933,0.9848443619872188,4.494179,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
3,46,103,TorusMDS_random_1x_scale2,5.9117,1.0068483551430627,0.9931982258221104,10000.0,max_iters,0.0017,0.3216328430253086,0.3585063959478241,0.2642522403432236,0.4581911461374872,0.7667588903320162,4.969003,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
7,47,957,TorusMDS_random_1x_scale2,6.3596,1.0076150328366775,0.9924425176396592,10000.0,max_iters,0.3165,0.3471933127213653,0.3824421808135383,0.2709433761383722,0.1913904498782919,0.992121212121212,4.473921,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
6,48,140,TorusMDS_random_1x_scale2,6.0721,0.995334701461542,1.0046871655651184,10000.0,max_iters,0.0027,0.3343655614004992,0.3730691147136657,0.2760398721579037,0.3942213095054445,0.6460767286262787,5.324742,results/sbm_normalized_TorusMDS_random_1x_scale2_comparison.csv,
